Name,Lyrics,Lyricist ,Singer,Genre,Music Composer,Metaphor,Interpretation
Yanawita Pare – යනවිට පාරේ,"යනවිට පාරේ උකුල නටන තාලේ 
ලස්සන කෙසේ වනම්දෝ
යෞව්වන කාලේ අඟර දඟර පාවේ 
ඇස් දෙක වශී නොවේදෝ 
සනසාලා නැලවීලා
කවදා හෝ වැරදී නෑ රන් ගාලා ගෙනත් දෙමී  
උඩරට මැණිකෙට පට කුඩ මොකටද 
දුම්බර රෙදි වියතෙයි
දුන්කොළ නැට්ටට රංඩු කරන්නට 
නැන්දල මාමල කොයි
අනේ මේ නැන්දල මාමල කොයි
අත්තටු සල සල පුංචි කිරිල්ලිය 
පියඹා මා වෙත එයි
නාවොත් හෙට ඇය අල්ලා ගෙන විත් 
කූඩුව තුල දමතෙයි
තෙතෙයි තෙයි කූඩුව තුල දමතෙයි
",Unknown,"H.R.Jothipala,M.S.Fernando","Group Songs,Movie Songs",Unknown,metaphor,interpretation
Sithum Pathum Sanda – සිතුම් පැතුම් සඳ,"සිතුම් පැතුම් සඳ ආදරේ උදා වේ දෝ
මහදේ සොඳුරු අහසේ අනාගතේ
සිතුම් පැතුම් සඳ ආදරේ උදා වේ දෝ
මහදේ සොඳුරු අහසේ අනාගතේ  
පැණි සොයමින් බඹරුන් එනවා 
පැණි බී යළි උන් ඉගිලෙනවා
පැණි සොයමින් බඹරුන් එනවා 
පැණි බී මල වට ඉගිලෙනවා
තනි වුණු කතරක මා ඉන්නේ 
කෙළෙසද පිය මැන පිටවන්නේ
හදවත විල් දිය චංචල වේ 
ගැඹුරට මගෙ නෙත සිත යොමුවේ
හදවත විල් දිය චංචල වේ 
ගැඹුරෙහි වැලි මත මුතු හමුවේ
සැතපෙන කල දුටු නිදි යහනේ 
එළි වෙයි දෝ මේ දුටු සිහිනේ
",Premakeerthi De Alwis,"Angelin Gunathilaka,H.R.Jothipala","Duets,Movie Songs,Old Pops",P.L.A.Somapala,metaphor,interpretation
Siriyame Sara – සිරියා මේ සාරා,"සිරියා මේ සාරා නැගේවි හද මෝරා
දී ප්‍රේමේ අම ධාරා හෝ ප්‍රේමේ අම ධාරා
ප්‍රේමේ නුරා ගීත රාවේ ඇසෙන්නා
මේ පෙම් මල් පිපීලා මා හර්දේ පිරෙන්නා 
හෝ…හෝ….හෝ
දින රාජයා ඈත අහසේ දිලෙන්නා
දී ප්‍රේමේ අම ධාරා හෝ ප්‍රේමේ අම ධාරා
ගංගා පිරීලා‍ ඉතිරී ගලන්නා
ආලේ රසේ මා හදේහි නැගෙන්නා 
හෝ…හෝ….හෝ
යාමී මේ දැන් පෙම් කුමාරි සොයාලා
දී ප්‍රේමේ අම ධාරා හෝ ප්‍රේමේ අමධාරා
",Wilfred Silva,H.R.Jothipala,"Classics,Movie Songs",T.R.Papa,metaphor,interpretation
Sinha Pa Sanda Se – සිනහා පා සඳ සේ,"සිනහා පා සඳ සේ 
ඔබ යලි මා උමතු කලේ
ඔබගේ ජීවිතයේ ආදරයේ උල්පත වේ
සිනහා පා සද සේ
ඔබ යලි මා උමතු කලේ
රන් විමනේ දොර ඇරලා
ඔබයි පැමිණි ඇතුල් වුවේ
මෝහනියේ ඔබ දැකලා
ඉතින් මා නෑ එපයි කීවේ
දෑත විදාලා    දෑත පුදලා
අදර පාලා මා හද දීලා
මම කැප වෙන්නම්
නෙත් යුවලේ සිර කරලා
ඔබේ රූපේ තියා ගන්නම්
සුන්දරියේ ඔබ නොදුටු
මැණික් තොරා ගෙනත් දෙන්නම්
දවස ගෙවේවි හෙට එලි වේවි
ප්‍රිය සිහි වේවි මා සතු වේවි
පැතුම් පිපේවා
",Unknown,H.R.Jothipala,"Old Pops,Request",Unknown,metaphor,interpretation
Suwandayi muwe mal – සුවඳයි මුවේ මල්,"සුවඳයි මුවේ මල් පැණි
නෙතඟින් හැලේ නිල්මිණි
මා ජීවිතේ පණ වැනී 
නැළවෙන් දුවේ රෝෂිනී
අම්ම නුඹේ කිරට ගියා 
කිරි එරවා එන්න ගියා 
කිරි මුට්ටිය ගඟේ ගියා 
ගඟට උඩින් කොක්කු ගියා
අතට වෙරළු ඇහිඳ ගෙනේ
ඉනට පලා නෙලා ගෙනේ
බරටම දර කඩා ගෙනේ
එයි අම්මා විගසකිනේ
",Aloy Gunawardhana,H.R.Jothipala,Calypso,R.A.Chandrasena,metaphor,interpretation
Wasanawa Dora Arala – වාසනාව දොර ඇරලා,"වාසනාව දොර ඇරලා බලනවා 
සිහින ලොවින් සිත පිබිදෙනවා
හිනා හීනෙන් දැකලා ජීවිතේ රහ වැටිලා
අපේ හිතේ හිනා ඇඳේ සෝක නිවීලා 
ඇසට ඇසක රැස් වැදී හිතක නෙළුම් මල් පිපී
මුළු ලෝකේ මඟුල් ගෙයක් වේ
සන්තෝසේ ආවේ මල් සිහිනේ යාවේ 
දුක සෝකේ යයි ඇතක පාවීලා
සිහින තොටිල්ලේ වැදී දෑස ආදරෙන් හිඳී
පෙම් ලෝකේ රන් තොරන් බඳී
සන්තෝසේ ආවේ මල් සිහිනේ යාවේ 
දුක සෝකේ යයි ඇතක පාවීලා
",Karunarathna Abeysekara,"H.R.Jothipala,M.S.Fernando","Group Songs,Movie Songs",Sarath Dasanayaka,metaphor,interpretation
Villuda Punchi Depa – විල්ලුද පුංචි දෙපා,"විල්ලුද පුංචි දෙපා කළුකර ගන්න එපා
අව්වට යන්න එපා දාවලේ  
අවලස්සන වේවී සිරියාවී
මට රිදවන්න එපා මග හැර යන්න එපා
තරහා වෙන්න එපා මේවගේ  
අනුකම්පා නැතිදෝ සිරියාවී
මේ හැටි ආඩම්බරදෝ 
පූරුවේ පිනින් ලැබූ  මගෙ දේවී 
ලා…..ලා ලා ලා ලා..ල ල ල ලා ලා
ලාඅ ආ.. ලාඅ ආ… ලාආ..
උදයට පින්න වගේ සයුරට රැල්ල වගේ 
ඉන්නේ මං නේදෝ සීදේවී
සිත වාවන්නෙ නැතේ දිවි නහගන්න සිතේ 
ඩිංගක් හිනැහෙන්කෝ සීදේවී
සරදම් චාටු කතා මට කීවාට ගොතා
ආයෙත් රැවටෙන්නෙ නෑ 
මායම් අරුමෝසම්  වරදීවී
ගිනියම් අව්ව වැදී හැඩ රුව යාවි මැකී 
මගෙ හිත ඒ හින්දා වැලපේවී
සිරිපොද බිංදු වගේ දොතට එන්න මගේ 
මේ හිත ආදරයෙන් හිනැහේවී
පියුමට සුවඳ වගේ සුවඳක පියුම වගේ 
සිතිවිලි අප දෙන්නාගේ 
දවසක මං ලොකේ රජ වේවී
",Ajantha Ranasinghe,"H.R.Jothipala,Latha Walpola","Duets,Movie Songs",Sarath De Alwis,metaphor,interpretation
Taj Mahalak – ටජ් මහලක්,"ටජ් මහලක්‌ තනවන්න නෑ මට 
ඔබෙ සෙනහසට හිමි 
හිස්‌ අහසේ ගෑවෙන්න තරමට 
ගී සෑයක්‌ බඳිමී 
සිහිකර ඔබ ගැන බවුන් වඩයි මන 
අන්ධය දෙනයන බිහිරිය දෙසවන
මගේ උදානය අමිල නිදානය 
ඔබමය ජීවය මිහිරිය දෙසවන
තිමිර එළිය කෙරු මගෙ ලොව දිනිසුරු 
තරුපති සහකරු ඔබයි මියනතුරු
",Karunarathna Abeysekara,H.R.Jothipala,"Classics,Golden Pop",Sarath Dasanayaka,metaphor,interpretation
Obe Pem Wadan Ne – ඔබේ පෙම් වදන් නෑ,"ඔබේ පෙම් වදන් නෑ එදාමෙන් ඇසෙන්නේ
හදේ පෙම් හැඟුම් නෑ එදාමෙන් නැඟෙන්නේ
සඳේ රන් කැළුම් නෑ එදා මෙන් දිලෙන්නේ
විලේ මල් නෙළුම් නෑ එදා මෙන් පිපෙන්නේ
මෙමා මුණ ගැසීමත් විඩාවක් වුණේ දෝ
මෙමා හා දෙඩීමත් විඩාවක් වගේ දෝ
දිනක් නොදුටුවොත් මා එදා ඔබ හැඬූවේ
අදයි ඔබව කලෙකින් පසු මා දුටූවේ
හිතේ නැද්ද ඔබගේ මෙමා ගැන කතාවක්
ඔබේ මුළු හදින් පෙම් කළා මට වතාවක්
බිඳක් මට නොදේනම් ඔබේ මුදු සිනාවක්
මතක් වෙන්න හීනෙන් කියන්නම් කතාවක්
",Karunarathna Abeysekara,H.R.Jothipala,"Golden Pop,Movie Songs",T F Latif,metaphor,interpretation
Sonduru Lowata – සොඳුරු ලොවට,"සොඳුරු ලොවට මල් වැහැලා තව්තිසාවෙ හද මැවිලා
හැගුම් පහන් තාරකා  පෙමට පායලා 
රෝස මලට හිත වැටිලා බමරෙකු සේ මා සොයලා
ඈත සිටන් හා හා හා හා  
ඈත සිටන් ආවදෝ   ඔබ පියඹාලා
මා ආදරේ පායන් හදේ  මා ආදරේ පායන් හදේ
ගුණ සුවදට මත් වෙනවා හද මල් උයනක් වෙනවා
සිත උතුරා හා හා හා හා  
සිත උතුරා ගලන පැයේ ඔබ ලං වෙනවා
මා ආදරේ පායන් හදේ  මා ආදරේ පායන් හදේ
",G.Leslie Ranasinghe,"H.R.Jothipala,Sujatha Attanayaka","Duets,Movie Songs",Clarence Wijewardena,metaphor,interpretation
