Name,Lyrics,Lyricist ,Singer,Genre,Music Composer,Metaphor,Interpretation
Ran Samanalayo – රන් සමනලයෝ,"රන් සමනලයෝ පුංචි කැකුලියෝ
දේදුන්නේ නැඟිලා 
මීදුම් සළුවේ තුරු මල් උයනේ
කොයි යන්නේ පියඹා
රන් සමනලයෝ පුංචි කැකුලියෝ
දේදුන්නේ නැඟිලා 
පෙම්බර ආල හිතේ ගී නොවෙදෝ ගැයුවේ
මොළකැටි බාලවියේ ඒ  ඒ හුරතල් කොතැනේ
මව් දෑතින් මිදුණාදෝ
යෞවනයේ මත් වීදෝ
ලද මනමාල හිතේ ආදරයේ සුවඳේ
තව නොදිටීද ලොවේ ඒ ජීවිතයේ අරුමේ
මල් යහනා පැතුවාදෝ
ඒ යහනා හමුවේදෝ
",Premakeerthi De Alwis,Sunil Edirisinghe,"Classics,New Pop",Sarath De Alwis,metaphor,interpretation
Viyo Vu Pasuvayi – වියෝ වූ පසුවයි,"වියෝ වූ පසුවයි දැනෙන්නේ 
ප්‍රේමයේ අභිමන්..
හැඩූදා කඳුලයි දකින්නේ 
සිනාවේ සරදම්
ඉවුරු දෑලේ හිද බැලූ විට 
ගඟ හැඩයි කදිමයි
දියට වන් විට එවන් ගගුලම 
බිහිසුනුයි චණ්ඩයි
හඳක් නැති දා අහස් තලයට
තරුව දෙයි සැනසුම්
පුන් පොහෝදා එවන් තරුවම
ලබන්නේ ගැරහුම්
",Bandula Nanayakkarawasam,Sunil Edirisinghe,New Pop,Rohana Weerasingha,metaphor,interpretation
Sayurak Nodutu – සයුරක් නොදුටු,"සයුරක් නොදුටු ගඟුලක් කිසිදා ගලන්නෙ නෑ
වෙරළක් අහිමි සයුරක් කිසිදා හඬන්නෙ නෑ 
කඳුළක් නොසැලු නෙතකින්
හසරැල් සොයන්නෙපා
ලැබුණත් බිඳුණු හදකින්
සෙනෙහස සොයන්නෙපා
සිසිලක් නොමැති අහසින්
වැසි දිය යදින්නෙපා
ලැබුණත් බිඳුණු හදකින්
සෙනෙහස සොයන්නෙපා
",Kumaradasa Saputhanthri,Sunil Edirisinghe,Old Pops,H.M.Jayawardhana,metaphor,interpretation
Silpa Sondin – සිල්ප සොඳින්,"සිල්ප සොඳින් දැනගන්න ගිහින් නුඹ
යහතින්දෝ කොළොම්පුරේ
ඉන්න නොවේ මියැදෙන්න හිතයි මට
නුඹ නැති හන්දා මං තනියේ
හැන්දෑ අවරට දැක්කද නංගෝ
තුරුළු වෙලා ඉන්නා ජෝඩූ
රංචු මිසක තනියෙන්ම නොයන්නේ
ඒ නුවරට උඹ කිරිකෝඩූ
නාමල් සුවඳක් පෙරදා වාගේ
අද නැහැ නොවැ ඇළ ඉස්මත්තේ
නාමල් සුවඳට බඹරු ඇදේදෝ
මගතොට නුඹ යනෙනා වාරේ
",Wasantha Kumara Kobawaka,Sunil Edirisinghe,Old Pops,Victor Rathnayaka,metaphor,interpretation
Soya Pilisaranak – සොයා පිළිසරණක්,"සොයා පිළිසරණක් ලොවෙන් මා
නොලැබ හව්හරණක්
භවෙන් භවයේ පතා ආයෙමි
හිමියනේ ඔබේ ඔබේ බුදු වදනක්
ගෙවා සුවහස් යොදුන් මේ කතරේ
සොයා යන මං නොදැන මේ අඳුරේ
යුගෙන් යුගයේ පතා ආයෙමි
හිමියනේ ඔබේ ඔබේ මුදු සිහිලක්
මහා කරුණා නුවන් දිය ගැඹරේ
ගිලී සැනහී නිවා ගිනි සසරේ
පහන් වැට සේ සොයා ආයෙමි
හිමියනේ ඔබේ ඔබේ නෙතු කැල්මක්
",Kumaradasa Saputhanthri,Sunil Edirisinghe,"Buddhist songs,Inspirational",Victor Rathnayaka,metaphor,interpretation
Santhapa Mawathe – සන්තාප මාවතේ,"සන්තාප මාවතේ සංවේදනා මැඳුරේ
සංවේගයෙන් දන්වා සිටිම්
වෙන්වීම මා ඇගෙන්
තරුවක් ලෙසින් වැලපී හඬා රැයේ
දැරියක් හිදී තනිවී දෙමංතලේ
නොසැලී රැඳී කඳුලක් ඇගේ නෙතේ
හඬගා කියයි නටඹුන් අතීතයේ
හසරැල් මැකී පිපි මල් මුවේ ඇගේ
සිහිලැල් සිඳී හද විල් තලේ මගේ
සඳ තාරකා අඳුරේ ගිලී ගියේ
ඇය මා සෙවූ සෙනෙහේ නිමාව සේ
",Kumaradasa Saputhanthri,Sunil Edirisinghe,New Pop,Rohana Weerasingha,metaphor,interpretation
Veralu Gediya – වෙරළු ගෙඩිය,"වෙරළු ගෙඩිය හරි අටකට කපා ගෙන
කොටහක් නොකා දෙගුරුන්ටත් තබාගෙන
උන් අපි එදා සත් කුළු පව් විලාසෙන
පැල ඉනි වැටට ඇයි අද ඇණ කොටා ගෙන
පොඩි උන් දොහේ මල් මතකය ඉරාගෙන
හොඳ හිත ගිහින් උඩු හුළඟට ගසාගෙන
මහගෙයි බිමට තනි උරුමය කියාගෙන
සතුරන් වෙලා උනුනට දෙස් තියාගෙන
තිරිසන් උනෝතින් කිසි හව්හරණ නැති
ලන්දක කකා ලන්දක කල් යල් හරිති
එක මිහි සයන කාටත් නිදි සුවය දෙති
බිම් පංගුවට ලොල් වී මළගම් නොයති
",Wasantha Kumara Kobawaka,Sunil Edirisinghe,Classics,Victor Rathnayaka,metaphor,interpretation
Ruduru Thuru Wadule – රුදුරු තුරු වදුලේ,"රුදුරු තුරු වදුලේ තියුණු කටු අතරේ
දිලෙන සියුමැලියේ
ඔබයි ජීවන සුවඳ දෙන්නේ
රෝස කුසුම මගේ රෝස කුසුම මගේ
 මහදේ රන් සුඹුකේ ඔබ තබනා
 නිරන්තරේ රැක ගනිමි පුබුදුවලා
සුවඳ විදිමින් ඉදිමි සැමදා
දෑස වැසෙන තුරා දෑස වැසෙන තුරා
මිහිරී රූ සිරි 
මිහිරී ජනනියේ
සිත සැනසේ ඔබ දසුනේ
මුදුමතී මුදුමතී
සිත සැනසේ ඔබ දසුනින්
",Carlo Fonseka,Sunil Edirisinghe,New Pop,Rohana Weerasingha,metaphor,interpretation
Sandakada Pahanaka – සඳකඩ පහනක,"සඳකඩ පහනක කැටයම් ඔපලා 
පාවෙන දේදුනු ලැගුම් ගනී
කැලැතුණු රසයක පැන ආ බුබුලක් 
අකුරු වැලක් දෙහදක ලියැවී
යුගයෙන් යුගයට නොමියෙන දහනක 
දිවියක පදනම මතු වෙද්දී
නොපෙනෙන ඈතක ඈ ගෙන යනවා 
සියුමැලි කැකුළක් මැල වෙද්දී 
සියුමැලි කැකුළක් මැල වෙද්දී
දහසක් පෙති මත රහසක් කොඳුරා
තුඩින් තුඩට ගෙන යන බිංදූ
ගව්වක් ඉහලට ගොනු කොට රඳවා
පොපියන දෙතොලක් එහි කැන්දූ
අහසක් ගුගුරා කළුවක් වපුරා
ඒ හා මුහු වුණු වැහි බිංදූ
ඈ ගෙන යද්දී නටඹුන් අතරෙක
තවෙකෙක් ඈ වෙත හද රැන්දූ 
තවෙකෙක් ඈ වෙත හද රැන්දූ
හද විල ඉපැදුණු කැකුළක් නොකලට
නටුවෙන් ගලවා දුරක යවා
මිහිලිය තෙත් කොට ගිලිහුණු කඳුළක්
සත් සමුදුරකට මුහුව ගියා
ඔබට උරුම වූ රිදුණු තැවුණු හද
එක් ටැම් මැදුරක කවුළු අරා
රුවන් විමානෙන් පියඹා එනතුරු
පොපියන හදවත සිටී බලා
පොපියන හදවත සිටී බලා
",Voli Nanayakkara,Sunil Edirisinghe,"Classics,Movie Songs",Victor Rathnayaka,metaphor,interpretation
Sadakalika Nowu – සදාකාලික නොවූ,"සදාකාලික නොවූ ලෝකේ
සදාකාලික ප්‍රේමයක්
සොයා නෙක ගම් දනව් පීරා
ගෙවූ කාලය සිහිනයක්
මගේ දුක දැක ඔබේ දෙනයන
උපන් කඳුළින් සේදිලා..
ඔබේ වත නොව ඔබේ හදවත
පුරා සඳ සේ පෑදිලා
එදා ළඟ සිට දුටුව ඔබ නොව
මෙදා දුර සිට මා දකින්නේ..
සදාකාලික නොවූ ලෝකේ
සදා කෙලෙස ද පෙම් බඳින්නේ
",Ananda Amarasiri,Sunil Edirisinghe,Classics,Rohana Weerasingha,metaphor,interpretation
